Postcode;Plaatsnaam;Deelgemeente;Hoofdgemeente;Provincie
612;Sinterklaas;;Sinterklaas;
1000;BRUSSEL;Neen;BRUSSEL;Brussel (19 gemeenten)
1005;Verenigde Vergadering van de Gemeenschappelijke ;;Verenigde Vergadering van de Gemeenschappelijke ;
1006;Raad van de Vlaamse Gemeenschapscommissie;;Raad van de Vlaamse Gemeenschapscommissie;
1007;Assemblée de la Commission Communautaire Française;;Assemblée de la Commission Communautaire Française;
1008;Kamer van Volksvertegenwoordigers;;Kamer van Volksvertegenwoordigers;
1009;Belgische Senaat;;Belgische Senaat;
1011;Vlaams Parlement;;Vlaams Parlement;
1012;Parlement de la communauté française;;Parlement de la communauté française;
1020;Laken;Ja;BRUSSEL;Brussel (19 gemeenten)
1030;SCHAARBEEK;Neen;SCHAARBEEK;Brussel (19 gemeenten)
1031;Christelijke Sociale Organisaties;;Christelijke Sociale Organisaties;
1033;RTL-TVI;;RTL-TVI;
1035;Ministerie van het Brussels Hoofdstedelijk Gewest;;Ministerie van het Brussels Hoofdstedelijk Gewest;
1040;ETTERBEEK;Neen;ETTERBEEK;Brussel (19 gemeenten)
1041;International press center;;International press center;
1043;VRT;;VRT;
1044;RTBF;;RTBF;
1046;European External Action Service;;European External Action Service;
1047;Europees Parlement;;Europees Parlement;
1048;Europese unie - Raad;;Europese unie - Raad;
1049;Europese unie - Commissie;;Europese unie - Commissie;
1050;ELSENE;Neen;ELSENE;Brussel (19 gemeenten)
1060;SINT-GILLIS;Neen;SINT-GILLIS;Brussel (19 gemeenten)
1070;ANDERLECHT;Neen;ANDERLECHT;Brussel (19 gemeenten)
1080;SINT-JANS-MOLENBEEK;Neen;SINT-JANS-MOLENBEEK;Brussel (19 gemeenten)
1081;KOEKELBERG;Neen;KOEKELBERG;Brussel (19 gemeenten)
1082;SINT-AGATHA-BERCHEM;Neen;SINT-AGATHA-BERCHEM;Brussel (19 gemeenten)
1083;GANSHOREN;Neen;GANSHOREN;Brussel (19 gemeenten)
1090;JETTE;Neen;JETTE;Brussel (19 gemeenten)
1099;Brussel X;;Brussel X;
1100;Postcheque;;Postcheque;
1101;Scanning;;Scanning;
1105;ACTISOC;;ACTISOC;
1110;NATO;;NATO;
1120;Neder-Over-Heembeek;Ja;BRUSSEL;Brussel (19 gemeenten)
1130;Haren;Ja;BRUSSEL;Brussel (19 gemeenten)
1140;EVERE;Neen;EVERE;Brussel (19 gemeenten)
1150;SINT-PIETERS-WOLUWE;Neen;SINT-PIETERS-WOLUWE;Brussel (19 gemeenten)
1160;OUDERGEM;Neen;OUDERGEM;Brussel (19 gemeenten)
1170;WATERMAAL-BOSVOORDE;Neen;WATERMAAL-BOSVOORDE;Brussel (19 gemeenten)
1180;UKKEL;Neen;UKKEL;Brussel (19 gemeenten)
